Patient_ID	C3L-00081	C3L-00415	C3L-00445	C3L-00503	C3L-00568	C3L-00603	C3L-00904	C3L-00923	C3L-00927	C3L-00965	C3L-00993	C3L-01000	C3L-01285	C3L-01455	C3L-01606	C3L-01663	C3L-01838	C3L-01884	C3L-02127	C3L-02130	C3L-02163	C3L-02164	C3L-02168	C3L-02170	C3L-02349	C3L-02358	C3L-02546	C3L-02552	C3L-02619	C3L-02624	C3L-02625	C3L-02627	C3L-02629	C3L-02646	C3L-02648	C3L-02649	C3L-02650	C3L-02660	C3L-02665	C3L-02669	C3L-02891	C3L-02951	C3L-02963	C3L-02964	C3L-02968	C3L-02969	C3L-03272	C3L-03678	C3L-03961	C3L-03962	C3L-03963	C3L-03965	C3L-04013	C3L-04014	C3L-04071	C3L-04391	C3N-00211	C3N-00221	C3N-00247	C3N-00309	C3N-00497	C3N-00555	C3N-00839	C3N-01017	C3N-01018	C3N-01020	C3N-01025	C3N-01028	C3N-01194	C3N-01411	C3N-01846	C3N-01892	C3N-01893	C3N-02252	C3N-02283	C3N-02284	C3N-02285	C3N-02288	C3N-02289	C3N-02300	C3N-02339	C3N-02374	C3N-02375	C3N-02425	C3N-02426	C3N-02434	C3N-02435	C3N-02494	C3N-02523	C3N-02575	C3N-02675	C3N-03051	C3N-03072	C3N-03076	C3N-03092	C3N-03093	C3N-03204	C3N-03424	C3N-03425	C3N-03441	C3N-03486	C3N-03662	C3N-03848	C3N-03851	C3N-03875	C3N-03877	C3N-03880	C3N-03882	C3N-03886	C3N-04124	C3N-04127	C3N-04155	C3N-04162	Samples-altered	Samples-amp	Samples-del	C3L-00081.N	C3L-00415.N	C3L-00445.N	C3L-00503.N	C3L-00568.N	C3L-00603.N	C3L-00904.N	C3L-00923.N	C3L-00927.N	C3L-00993.N	C3L-01000.N	C3L-01285.N	C3L-01455.N	C3L-01606.N	C3L-01663.N	C3L-01884.N	C3L-02127.N	C3L-02130.N	C3L-02163.N	C3L-02164.N	C3L-02168.N	C3L-02349.N	C3L-02358.N	C3L-02546.N	C3L-02552.N	C3L-02619.N	C3L-02624.N	C3L-02625.N	C3L-02627.N	C3L-02629.N	C3L-02646.N	C3L-02648.N	C3L-02649.N	C3L-02650.N	C3L-02660.N	C3L-02665.N	C3L-02669.N	C3L-02891.N	C3L-02951.N	C3L-02963.N	C3L-02964.N	C3L-02968.N	C3L-02969.N	C3L-03272.N	C3L-03961.N	C3L-03962.N	C3L-03963.N	C3L-03965.N	C3L-04013.N	C3L-04014.N	C3L-04071.N	C3L-04391.N	C3N-00221.N	C3N-00497.N	C3N-00555.N	C3N-01017.N	C3N-01018.N	C3N-01020.N	C3N-01025.N	C3N-01028.N	C3N-01194.N	C3N-01411.N	C3N-01846.N	C3N-01892.N	C3N-01893.N	C3N-02252.N	C3N-02285.N	C3N-02288.N	C3N-02289.N	C3N-02300.N	C3N-02339.N	C3N-02374.N	C3N-02375.N	C3N-02425.N	C3N-02426.N	C3N-02434.N	C3N-02435.N	C3N-02494.N	C3N-02523.N	C3N-02575.N	C3N-02675.N	C3N-03051.N	C3N-03072.N	C3N-03076.N	C3N-03092.N	C3N-03093.N	C3N-03204.N	C3N-03424.N	C3N-03425.N	C3N-03441.N	C3N-03486.N	C3N-03662.N	C3N-03848.N	C3N-03851.N	C3N-03875.N	C3N-03877.N	C3N-03880.N	C3N-03882.N	C3N-03886.N	C3N-04124.N	C3N-04127.N	C3N-04155.N	C3N-04162.N
Sample_Tumor_Normal	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
A2M	19.4873	20.3188	21.0235		20.8265	20.9574	21.0353	23.0827	19.4749	21.4157	20.5915	22.6553	19.2052	22.0365	22.1421	22.2048	22.01	20.5508	20.7826	21.8903	19.9632	22.8939	20.6764	23.261	22.4221	21.3912	21.7255	23.0974	21.3895		20.5515	21.5973	22.8736	21.6025	21.5261	20.5631	21.9902	23.4388	21.2321	20.1385	22.0666	21.2109	22.2174	21.408	21.4846	21.5819	20.3298	20.7553	23.1833	19.6843	22.7404	21.6945	19.278	21.6857	21.2526	21.2584	20.8205	20.1216	21.6902		22.4754	20.8806		21.0849		21.5754	20.4164	21.587	20.7338	20.0168	20.4834	21.5438	22.0826	22.3478	19.3075	19.1641	22.0061	21.5191	22.561	21.5764	19.8701	20.5529	20.0386	20.5194	21.9438	19.9571	20.4176	21.2574	20.168	19.7414	22.9221	20.6903	20.1333	21.497	21.8646	20.69	20.326	23.6481	19.8829	22.4669	20.3433	20.8383	22.4856	20.7332	20.8063	21.7585	20.4766	19.570999999999998	20.7317	20.6319	21.5964	19.9346	19.4937				23.9925	24.366	24.134		24.8445	24.4198	24.7493	24.9612	24.0588	24.6346	24.1295	24.1365	24.1713	24.7605	24.1904	24.9982	24.2042	24.4884	23.6904	23.8037	24.4435	24.398000000000003	24.1758	24.4317	24.9462	24.6758		24.1037	24.0136	24.4882		24.6964	23.7761	24.1694	24.4151	23.6869	23.9464	24.693	23.9429	24.2456	23.9037	23.9721	24.3616	24.3002	24.2916	24.2162	24.111	23.6812	23.9267	23.9522	24.1821	24.4524	24.2805	24.3643	23.6931	23.9181		24.2388	24.1031	24.3172	24.4322	24.4442	23.8035	24.2164	24.7541	24.3632	24.7389	23.6452	25.0095		24.7901	24.2818	24.5293	24.0769	24.3019	24.6105	24.2886	23.9241	23.8668	24.3815	24.5814	23.9222		23.8395	24.1092	24.3561	24.0276	24.5407	24.1971	23.9934	24.2274		24.2906	24.2148	24.2621	24.4403	24.8706	24.2585		23.7607	24.1889		23.0079
ABCB1	13.6101	14.4562	13.5898		13.7191	14.4716	15.4192	15.6417	13.9476	14.718	13.1916	14.9384	12.5123	16.0113	14.585999999999999	14.3716	14.4741	13.8962	13.6036	14.443	12.5442	15.5414	13.7654	15.4221	14.2539	12.6206	14.8344	14.2836	13.3879		15.6119	14.2724	15.7481	13.5315	14.9197	13.7999	14.9564	16.0512	15.4568	13.6045	14.8836	13.2513	14.2811	13.715	14.237	16.2338	14.19	13.6936	16.0289	12.8872	14.7914	13.7777	11.2414	14.2045	15.0699	13.6794	13.8347	14.1943	15.5348		15.1193	13.2257		14.2835		13.3104	12.7823	14.3541	14.5884	14.2635	13.2029	14.3814	14.9907	14.7258	14.7485	14.7099	13.2485	14.0199	14.68	13.831	12.8504	13.9042	13.8833	13.267000000000001	14.9225	13.3507	13.1835	14.5839	13.5385	11.9002	14.9489	12.7472	12.4252	12.9354	15.3303	14.4505	12.4902	14.8413	12.9177	14.5789	14.4622	13.3274	14.9979	13.0019	14.3119	13.9466	15.0116	13.4524	12.844000000000001	13.8368	13.4941	13.298	14.4135				17.2657	16.85	14.7589		16.9557	15.3101	16.7839	16.5172	14.7412	15.2802	15.0796	15.6585	17.0462	15.2943	15.632	17.1546	16.5575	16.0408	15.0801	15.6205	15.3889	15.8218	15.2283	17.2771	17.0103	15.7519		16.9162	15.8261	17.2446		17.2465	16.7379	15.9398	16.1158	15.7093	16.365	15.8422	14.8346	17.9056	16.7032	15.3288	15.9006	15.3856	16.8173	16.9866	17.5116	16.115	15.754000000000001	17.7345	16.3108	15.8957	16.6383	16.8447	14.2926	16.2389		14.9681	16.3347	16.9885	17.1431	16.4487	15.8057	16.9366	17.5996	15.3661	17.5501	15.1315	16.3189		17.8218	17.8865	17.144000000000002	15.724	15.9433	16.9079	15.1308	17.5188	15.3046	17.1915	14.9436	14.8093		15.3399	16.0568	16.843	15.6565	16.907	16.6637	15.2674	15.0231		17.4322	17.7883	16.2354	18.1496	16.7662	17.2762		14.4894	17.0349		16.9811
ABCC1	20.3802	18.5204	20.7168		20.5324	19.0227	18.2802	18.2668	17.3643	19.0944	18.2673	18.3689	21.0103	17.7902	18.787	20.0197	18.0168	18.3118	21.023000000000003	19.1399	21.6691	18.2541	20.5644	18.3718	20.0664	18.4794	18.298	18.1513	18.9241		20.1288	18.4528	18.0773	19.8027	18.6186	19.5415	18.5938	19.4557	19.1394	20.2215	19.5816	18.9014	19.2085	18.7155	19.5554	20.2328	20.0153	18.7553	18.9149	19.9669	19.0331	19.4482	18.1536	20.638	18.6009	18.7586	18.1724	21.3734	18.1594		18.6513	18.6259		20.6166		18.9766	20.8807	19.323	18.5051	19.1094	19.1134	20.9874	18.3542	20.6296	17.4086	18.6403	19.3496	20.7178	18.6543	18.9395	19.274	20.3971	20.9846	20.9589	18.6165	21.6865	18.9034	20.554000000000002	18.6898	21.3777	18.7895	18.6871	20.9658	18.3919	18.0751	18.3217	19.3001	18.5274	19.9796	20.3881	18.548	20.369	18.4967	17.1837	19.1483	20.2761	21.2776	18.9786	19.0621	19.97	18.2311	21.2484	20.8422				17.7813	17.621	18.295		18.0491	17.9406	18.2351	17.6423	18.3593	18.083	18.2369	18.3551	17.9802	18.1909	18.0952	18.3096	17.9952	18.0493	17.7678	18.397000000000002	18.0256	18.1248	17.9424	17.942	18.2075	18.3168		17.6953	17.8972	17.6769		17.6565	17.9095	17.6321	17.9114	18.1936	18.0963	17.7703	17.7959	17.9861	17.9482	17.9275	17.9134	17.8815	17.6574	17.8184	17.65	17.9775	17.8791	17.6523	18.0279	17.7893	18.0855	17.8453	18.2111	18.3606		18.285999999999998	18.1317	18.104	18.0543	17.8346	18.0088	17.7881	17.8867	17.9078	18.1188	17.9621	17.8539		17.7628	17.9555	17.7556	17.9193	17.7189	18.0376	18.4455	17.5688	17.3233	17.7967	18.2889	17.3592		17.5918	17.7737	17.6877	17.5897	17.7396	17.6659	17.8221	18.1872		17.8753	17.7703	18.047	17.6314	17.6094	17.7972		17.5979	17.7211		18.1628
ABI2	15.907	15.3803	15.6985		16.1138	16.2407	16.4474	15.7016	15.2101	16.1504	15.4986	16.2289	17.0672	15.7208	16.070999999999998	16.1602	15.8197	15.7134	15.8671	15.0849	16.5536	15.5023	15.7195	15.9389	15.4124	15.9011	15.4039	16.1336	15.3317		16.5653	15.5498	16.0015	15.6981	15.7006	16.6299	15.9014	15.9238	15.5282	16.1687	15.8161	15.3853	15.4991	15.817	15.8099	15.3892	15.4952	15.2895	15.9038	16.5831	15.9435	16.9062	17.3028	15.7125	15.5744	15.7876	16.1396	15.527000000000001	15.9548		16.2285	15.4216		16.128		15.2201	15.4548	15.7078	15.3798	15.9422	15.8022	15.8812	15.5564	16.0554	16.259	15.4269	15.9301	16.402	16.1599	15.7269	16.5125	15.3195	15.4056	14.8766	16.0279	15.1244	16.727999999999998	16.0163	16.2482	15.4586	15.6248	15.5787	15.6903	15.8523	15.4965	16.1226	16.0477	15.6151	16.474	16.3439	15.370999999999999	16.4715	15.9375	16.4559	15.4698	16.2136	15.558	15.3846	16.9582	15.6854	15.4213	16.1334	15.3572				15.9668	16.0343	15.8911		16.035	16.4035	16.2951	16.2664	15.8127	15.8939	16.1729	16.0746	16.0897	16.4599	15.7673	16.1572	16.2529	16.3119	16.0517	15.6989	16.3777	16.1261	16.6399	16.3107	16.3037	15.6158		16.7921	16.5143	16.5213		16.5445	16.680999999999997	16.1083	16.6086	16.1596	15.9465	16.5223	16.0455	16.3726	15.5853	16.3662	16.6344	16.4179	16.4355	16.2925	16.1975	16.3993	16.2477	16.404	15.7679	16.4504	16.5065	16.0869	16.0319	16.0297		16.0612	16.5198	16.1251	15.9826	16.2323	15.7794	16.211	16.3703	16.369	16.1958	15.8036	15.8816		16.3723	16.2509	16.4248	16.0321	16.3541	16.2708	16.5958	16.459	16.2666	16.1307	16.2434	16.1025		16.2827	16.3514	16.4954	16.1574	16.146	16.2891	16.1028	15.9345		16.739	16.3101	16.4982	16.3628	16.3815	16.6535		16.4854	16.3626		16.2724
ABI3	15.2529	16.4235	15.8143		16.4629	16.5567	16.1194	16.7869	16.0427	15.3386	15.0594	17.0781	14.1816	17.1451	16.3056	16.3763	16.1289	16.0008	16.3782	16.4816	15.2467	17.6281	16.2793	16.849	16.6643	15.8958	16.6633	16.914	16.7817		17.3505	16.6096	17.38	16.2623	16.1238	15.7352	16.8472	16.3522	16.6755	16.3888	16.6515	16.9397	16.8274	17.4076	17.145	17.5264	16.4039	16.252	17.7337	14.9563	17.0358	16.3629	14.5941	16.6338	17.2571	16.1662	15.7225	15.6231	17.6577		17.5159	16.0894		15.4858		17.6276	15.2965	16.7303	17.2325	15.5394	16.2883	16.977	17.601	17.4421	13.3703	14.1202	16.4814	16.4041	16.8299	16.29	16.4683	16.284000000000002	16.1601	16.2409	17.3631	15.6744	15.6214	16.3269	15.3988	14.9994	17.9038	16.5485	14.8448	15.6632	17.6167	17.6418	15.1731	16.7998	15.6669	16.2093	16.9245	15.3385	17.2163	15.3744	16.2901	15.4458	16.2939	14.6568	14.9302	16.561	16.8995	15.0707	16.1276				16.9429	16.5755	17.2817		17.8473	17.3047	17.5276	16.7925	17.9036	17.78	17.9978	16.9658	17.0759	18.1669	18.0637	17.7228	17.166	17.2464	17.8866	17.7197	16.9361	17.6168	17.1358	16.6942	16.5703	18.0917		16.6959	16.9906	16.5603		16.7737	16.8941	17.2917	16.5742	17.2245	16.9236	16.7064	17.7821	17.3702	18.3405	17.2242	17.0453	16.8363	16.3078	16.9498	16.8151	17.3583	17.3934	17.1202	18.2202	16.9507	16.9357	17.7352	18.1894	17.3984		17.6389	17.477999999999998	17.6529	17.6905	16.9297	17.3594	16.9285	16.9221	17.2309	17.7108	18.1296	18.0449		16.473	17.2509	16.9431	17.8952	17.6284	16.4647	17.3074	16.3264	17.0648	17.3543	18.3075	17.5838		17.4869	17.165	16.7665	17.6168	17.0026	16.8996	17.169	17.9246		17.1508	17.3086	17.2985	17.4997	16.875999999999998	16.9154		17.6182	17.5326		17.422
ABL1	17.6779	16.9762	18.5037		18.195999999999998	17.1842	17.9599	17.2762	18.1733	17.8485	17.5689	17.7302	17.7511	18.0083	17.7833	17.6897	17.9395	17.4303	18.4984	17.9587	18.4727	18.4263	18.2919	18.4101	17.3571	17.9667	18.0044	18.3085	18.1636		17.7552	17.6154	18.1161	17.6687	18.2555	17.6859	17.7031	18.2569	17.8402	18.0972	17.7936	18.2409	18.4682	17.9709	17.9423	17.8803	17.333	17.9365	18.0451	17.9528	18.0803	18.0047	17.9795	18.1719	18.0823	18.1029	18.1322	18.832	17.9943		17.6531	17.1031		17.8334		17.9943	17.656	18.035	17.7614	18.09	17.997	18.854	17.9279	18.4634	18.4446	16.615	17.7149	18.225	18.4233	18.2245	18.95	18.0672	18.2801	18.0804	18.5478	17.6039	18.1995	17.6237	17.5389	17.7097	18.2964	17.7631	18.1418	17.7902	18.3607	18.4082	17.2217	17.7161	17.9711	18.2427	17.9156	18.5221	17.9111	17.5008	17.3553	17.1532	18.1733	17.898	18.7797	18.107	17.7136	18.9426	18.0774				18.1668	18.1614	18.2296		18.0883	18.1081	18.2299	18.1766	18.3956	18.2908	18.2254	18.6132	18.2409	17.9861	18.1353	18.5171	18.512999999999998	18.3577	18.3637	18.887999999999998	18.3522	17.9351	17.819000000000003	18.0054	18.5904	18.4485		17.991	18.1196	18.1905		18.4362	18.2501	18.4631	18.7513	18.5556	18.4681	18.5944	18.1487	18.7824	18.4199	18.1417	17.9368	18.2572	18.3952	18.2715	18.7666	18.3843	18.4012	18.2478	18.0181	18.497	18.2211	18.2456	18.0218	18.5617		18.1268	18.2123	18.4358	19.0858	18.5747	18.7087	18.3294	18.167	18.0319	18.3853	17.9718	18.3603		19.1025	18.4642	18.2328	18.0742	17.8561	18.6271	18.3851	18.1418	17.985	17.9962	18.1708	18.1944		17.9061	18.2444	17.7349	17.7446	18.714000000000002	17.9687	18.3434	18.5059		18.1155	17.9904	18.2037	18.0242	18.4111	18.0078		17.7507	18.1407		18.4407
ACACA	18.6068	18.9832	18.874000000000002		18.7088	18.6851	18.6669	18.0777	18.4424	19.2438	17.7389	18.0538	19.1316	17.1946	17.9285	18.6798	18.4127	18.8992	18.8522	18.0868	18.7299	17.9885	18.4146	17.9429	19.0678	18.0487	17.9903	17.8722	18.3139		18.5999	17.5407	18.5833	18.362000000000002	18.2548	18.524	18.2304	18.4483	18.1243	18.5088	18.7815	18.1355	17.8845	17.977999999999998	17.8593	17.993	18.816	18.766	18.0111	18.7471	18.5767	18.4703	18.3357	18.5968	18.1127	17.733	18.4798	19.335	17.9238		18.5701	18.8471		18.893		18.3504	18.7661	19.1441	18.6475	18.6	18.8428	18.8008	18.0552	18.5441	18.3445	18.9148	19.1138	18.4081	18.0246	17.7604	18.1255	18.8027	19.211	18.9432	18.0284	18.871	19.0852	18.8188	18.6908	18.9717	17.9308	18.3511	18.2525	19.8077	19.032	17.7553	18.7654	17.8876	18.7867	18.2839	18.0533	18.5909	18.1903	19.1884	18.5846	19.2015	18.8438	19.0654	18.6862	18.7992	18.3217	19.1233	18.7335				18.6716	18.6064	18.4729		17.7907	18.1949	17.5891	17.9344	18.0423	17.8987	18.4765	18.5993	18.274	17.2024	18.3835	17.5062	18.4517	18.2878	18.5653	18.4925	18.1821	18.3712	17.6463	18.6109	18.2473	18.5272		18.1162	18.1922	18.3339		18.2051	18.1939	18.4224	18.3652	18.1134	18.3184	18.1727	18.329	17.9769	18.2822	18.2657	17.8235	18.2467	18.3213	18.547	18.6025	18.3925	18.316	18.4141	18.0289	18.0225	18.165	18.2032	18.7591	17.8807		18.3664	18.3955	18.2894	17.9381	18.1714	18.0668	18.4432	18.1676	17.8466	18.1284	18.3803	18.0526		18.0305	18.5867	18.4409	18.2689	18.0123	18.2931	17.9895	18.262	18.3702	18.2901	17.8637	18.4099		18.3254	18.0288	18.1516	18.5498	18.0842	18.4374	18.2681	17.9549		18.2542	18.4384	18.1669	18.1997	17.7919	18.4888		18.1235	18.2548		18.9682
ACACB	13.4228	13.3832	15.1624		15.2966	16.0534	14.7004	15.4941	12.9784	14.6433	14.6488	16.1399	15.0302	15.6977	14.7892	15.1557	14.4635	14.968	14.6287	14.8456	14.9891	17.0109	14.705	15.144	15.537	13.7104	15.2406	15.9717	15.5684		16.3289	14.164000000000001	15.5844	14.5208	14.7631	15.7099	15.0011	15.4974	14.9356	15.4051	15.4743	14.557	15.4372	15.1614	14.612	15.3988	15.0731	14.7616	15.5719	15.8246	16.0762	15.8216	15.9107	14.8569	14.8568	13.8952	14.2813	14.6047	15.3027		15.5779	14.5777		14.7917		15.1936	14.1723	14.7744	14.9347	14.7875	15.0195	15.5398	15.5889	16.1087	15.613	14.599	14.9522	15.0477	15.6463	15.1085	14.5865	14.6844	14.3844	15.4766	15.8731	14.8714	15.6849	15.2598	14.8443	14.1415	15.3727	14.0951	14.3442	14.9744	15.3168	14.562000000000001	15.2618	15.3029	15.3086	15.3049	15.5419	15.6533	15.4309	15.4723	14.4989	15.3346	14.6509	14.645999999999999	17.2189	15.238	14.2867	14.9309	15.8013				17.3017	16.3059	16.7788		16.5737	17.4359	16.9233	17.0682	16.5442	16.6231	17.4333	16.3581	16.9798	17.1709	16.8036	17.2121	17.1662	17.0251	16.416	17.0082	16.5828	17.4139	17.1396	17.0642	17.5638	18.1883		17.0801	17.1291	16.6903		17.3087	16.9557	16.8992	16.6094	16.0014	16.8741	16.125	16.7851	16.9451	16.4468	16.8691	17.2937	17.0953	17.1447	17.0993	17.357	16.9295	16.4597	17.061	16.5344	17.0305	17.6609	16.9541	17.3747	16.614		17.4261	17.0015	17.2393	16.6351	17.1915	16.2055	16.7419	17.2034	16.9623	17.0479	16.6136	16.9242		16.5155	17.2286	17.2745	16.9586	17.3233	16.5032	17.474	16.9504	16.9942	16.7544	16.7011	16.745		16.9343	16.6527	16.6523	16.7935	16.2734	16.6375	16.717	16.3977		17.5311	16.6295	17.6524	17.1516	17.1028	17.2572		17.1727	17.0546		16.9526
ACE2	14.7596	17.3366	12.0389		14.9183	13.4695	15.4495	15.6503	13.2309	13.8565	15.1806	14.4258	12.2496	14.5947	14.9944	15.3578	13.9676	15.4513	13.0245	15.7812	15.043	14.5391	13.3961	14.527999999999999	15.3323	13.5828	14.7192	13.9987	14.4012		15.7002	16.2375	16.8674	13.9744	15.0178	11.5292	15.0792	12.9152	13.8652	14.8128	16.725	15.1536	13.5918	13.2413	12.965	16.3946	12.4248	15.6035	14.7081	12.6216	14.0496	11.9637	12.8314	15.1183	15.7628	14.6913	13.1967	12.9098	16.0962		13.6447	14.0126		14.3702		13.1249	13.0419	15.140999999999998	13.7504	15.3703	13.5289	13.5364	15.6664	16.1634	11.9093	15.0468	14.1382	12.9767	12.7276	15.219000000000001	13.4607	14.7142	16.7962	15.0159	14.0856	14.0428	14.2835	13.6858	14.2465	15.1994	16.0622	15.9921	14.5362	11.2435	13.9714	12.686	15.6994	14.9735	13.2377	14.798	14.5901	13.7963	14.3163	9.496	16.9331	14.1714	16.3675	16.029	12.4609	14.8135	13.9497	14.6751	15.7042				13.9328	14.7833	14.2176		14.2388	14.4925	13.3381	14.2008	13.8922	14.3948	14.0625	15.0389	14.2631	13.7379	15.1788	13.6642	14.5637	13.7301	14.3991	14.761	14.0072	14.3006	13.6798	14.9227	13.7201	14.687000000000001		13.8849	13.9258	14.8171		14.2865	14.265999999999998	14.4399	14.8162	14.6778	14.9522	14.0039	14.5841	13.181	14.9469	13.9509	13.8941	13.965	14.427	15.1608	14.0348	13.9645	14.366	13.7475	14.7171	13.8458	14.4153	13.9889	14.3414	14.5354		15.0394	14.2043	14.2981	13.7218	14.668	14.0143	14.3789	14.027999999999999	14.2669	14.119000000000002	14.7218	14.3963		14.2244	14.3745	14.9226	14.9486	13.6489	13.88	14.5914	14.4402	13.7816	13.9262	14.3451	15.34		14.3986	14.1165	13.7361	14.4274	13.8056	14.3901	14.7737	14.7773		14.7198	14.0574	14.5041	13.6697	14.6847	14.5803		14.5987	14.4191		13.76
ACTA1	9.5014	11.5067	11.6948		10.4286	10.8806	11.6995	12.5422	9.905	10.6201	11.638	11.7831	8.6883	12.8749	10.258	11.7507	13.7137	11.5775	11.7985	11.9057	11.1192	13.269	11.6735	12.4899	10.1452	10.9226	12.4117	13.5603	11.1359		11.7792	10.9895	10.4888	10.8596	11.1628	12.7106	11.5759	11.3081	11.5701	12.6494	11.4106	12.2611	10.9623	9.8269	11.3579	11.1341	11.7782	10.3052	11.0136	12.915	10.9033	9.8123	10.7133	12.294	10.9398	8.5924	11.2071	11.0173	11.2412		11.1148	10.6721		10.6863		11.4734	12.1547	11.6391	11.655	11.8564	10.031	11.3444	11.0333	12.1987	13.7172	11.1359	12.2224	11.7143	11.3733	9.8976	11.4385	11.4924	10.2964	9.5951	11.3355	10.9983	11.9871	11.0431	11.9389	11.4425	11.9145	9.4192	11.4566	13.0515	13.7917	11.8913	11.3815	11.3346	10.9302	12.167	11.125	11.9994	11.1123	11.7369	10.3806		11.2686	10.515	13.9045	11.6128	10.6702	10.6825	11.6295				12.5744	11.0552	10.8239		11.9069	10.6093	14.2456	12.1452	11.6349	12.0011	11.4756	11.0309	12.4439	10.5559	10.9064	11.82	12.2995	12.2536	11.0603	12.2824	10.4576	11.341	12.1819	11.264000000000001	12.9431	11.08		11.9559	10.2889	12.2191		12.7008	12.0442	9.8556	11.4365	11.2127	12.667	11.015999999999998	11.4445	10.4865	11.3398	11.9688	11.7565	12.2175	10.8381	11.2622	12.6204	12.4368	12.64	11.956	10.8716	11.9329	13.7883	9.9555	10.8154	11.536		12.4116	13.7671	11.475999999999999	11.4423	12.094000000000001	13.5174	12.2846	11.5418	12.5866	12.6101	10.8146	11.2346		13.4798	11.034	12.5146	11.8443	11.1212	10.673	10.7175	11.2481	8.5306	12.1899	9.8676	10.5235		11.6761	11.9985	11.1111	12.292	10.9505	11.1106	12.1848	12.6055		11.545	12.0527	11.419	10.4627	12.1003	12.9351		11.3593	11.9961		11.0486
ACTN2	12.9181	8.9415	12.8077		11.1264	14.8059	11.8123	13.2053	11.2909	13.3912	11.6769	13.2745	11.1231	12.2805	11.1782	12.2482	10.6661	10.6903	11.7478	10.9514	10.5121	12.5131	12.2014	12.7023	11.8826	10.5209	11.7946	12.0451	11.4967		11.1145	9.7804	12.2741	12.9032	9.4981	12.0674	12.1038	13.827	11.9724	12.3186	12.9664	12.0585	13.2249	11.2617	12.5941	11.2469	10.1806	11.2925	12.4769	12.2794	13.0823	11.8637	10.4112	12.8923	12.4373	12.8138	11.8702	11.4877	13.5105		13.3292	9.785		11.0471		12.89	9.2676	11.9614	10.4053	10.1067	10.9512	11.6667	12.4191	12.8206	14.1216	9.2488	12.3677	11.2601	14.0187	10.3324	11.0539	10.3422	11.2166	10.0299	11.7703	11.4331	12.9278	11.419	10.9363	10.1404	13.3361	10.702	10.8325	13.2376	11.3741	11.3578	9.3017	12.9069	10.1806	13.3272	10.7614	11.5046	12.834000000000001	13.7022	10.0784	11.2493	11.6545	8.6278	13.7593	12.5908	9.7831	10.1739	10.4428				15.2316	13.3853	14.8863		14.7325	15.3442	16.4695	15.6098	14.2921	16.0821	14.8406	14.8091	14.9353	16.0796	14.3139	15.1424	15.9551	15.1048	14.9049	13.8062	15.5362	14.8657	16.0497	15.4958	15.2418	14.0876		15.7355	15.9384	15.0489		16.328	15.558	13.5534	15.5267	14.9549	15.1813	13.9103	14.7042	14.8023	13.5402	15.1151	15.5355	15.5469	15.5832	15.1432	14.4151	14.1853	15.6776	15.1678	14.7983	15.3954	15.4317	14.8144	13.6287	14.6425		14.7666	15.295	15.052999999999999	15.3134	15.5898	13.7027	14.709000000000001	15.2092	15.3239	15.4088	14.4759	14.9585		14.8557	14.6387	15.0745	14.7816	15.2341	14.9658	15.9152	14.6949	14.6491	14.7785	14.2189	14.6476		14.5259	15.2073	14.4019	14.4792	14.9783	14.5693	15.1949	14.4643		15.5509	14.24	15.3684	15.168	15.3831	15.3227		15.2164	14.6167		14.4977
